Product ID,Title,Specifications,Description Text,Description Images,SKU,Colors,Current Price,Original Price,Discount,Coupon,Tax Info,Rating,Reviews,Sold,Only Left,Max/Buyer,Available,Shipping Price,Delivery Date,Store Name,URL,images1,images2,images3,images4,images5,images6,images7,images8,images9,images10,images11,images12,images13
"1005005307460489","Double Layer High Capacity Laptop Bag Cover,Microfiber Leather Laptop Sleeve Case For M1 MacBook Pro Air 12/13.3/14/15.4/16","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/HTB1vq9Sbv1G3KVjSZFkq6yK4XXaA.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H0837312a26bb454bb0af1d8b26e40fc57.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/HTB1dKyRbEGF3KVjSZFoq6zmpFXay.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/HTB1avKRbEWF3KVjSZPhq6xclXXat.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/HTB1LmmSbBOD3KVjSZFFq6An9pXaK.jpg_220x220q75.jpg_.avif | 13-inch | 14-inch | 15.6-inch","N/A","Rp87,344","Rp184,246","52% off","N/A","Tax excluded, add at checkout if applicable ; Extra 1% off with coins","4.6","10 Reviews","68 sold","N/A","Max. 1 pcs/shopper","N/A","Free shipping","May 10 - 15","Quoko Official Store","https://id.aliexpress.com/item/1005005307460489.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-0&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21249821.48%21134906.00%21%21%21107.09%2157.83%21%402141131717462878956777252eb9c4%2112000032573303475%21sea%21ID%210%21ABX&curPageLogUid=Dgaa7nBQHuTz&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/HTB1rpG1bq5s3KVjSZFNq6AD3FXaU.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S4d3b3052b6c243f08154f21134ac2b8fv/48x48.png_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1rpG1bq5s3KVjSZFNq6AD3FXaU.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1uxCYbBCw3KVjSZFlq6AJkFXaN.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1npG1bq5s3KVjSZFNq6AD3FXaQ.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1CoKSbAWE3KVjSZSyq6xocXXav.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1dmyQbv5G3KVjSZPxq6zI3XXan.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1xpOZbBCw3KVjSZR0q6zcUpXaN.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1vq9Sbv1G3KVjSZFkq6yK4XXaA.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H0837312a26bb454bb0af1d8b26e40fc57.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1dKyRbEGF3KVjSZFoq6zmpFXay.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1avKRbEWF3KVjSZPhq6xclXXat.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/HTB1LmmSbBOD3KVjSZFFq6An9pXaK.jpg_220x220q75.jpg_.avif"
"1005005492898045","iMice Wireless Mouse Silent Computer Mouse 1600 DPI Ergonomic Mause Noiseless Sound USB PC Mice Mute Wireless Mice for Laptop","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/S0bb276f7cc1b431d8db64c6163a739d1j.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/S168aa57ba616458888fc97e6b3d51c6dO.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/S1a620345eb074635a1710277665e0657N.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/S06c56635685a4b1d8026d856a2b42c8bU.jpg_220x220q75.jpg_.avif","N/A","Rp167,286","N/A","N/A","N/A","Tax excluded, add at checkout if applicable","1.7","6 Reviews","14 sold","N/A","N/A","N/A","Rp863","May 10 - 17","Shop1102110724 Store","https://id.aliexpress.com/item/1005005492898045.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-1&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21178670.53%21178670.53%21%21%2176.59%2176.59%21%402141131717462878956777252eb9c4%2112000033296147607%21sea%21ID%210%21ABX&curPageLogUid=k1gCDatr9my2&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/S095059ec12d242e89a1514b6e2cb3b82B.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S97dd4f2995f1485fa8d00ae4fa9e4832V.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S431753ffa24d41438e52763631a50683C.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Sd69b21101bf94322b6a57cf9999f4f073.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S2cee4cdb7d16490c992ec9eb5e7601d9G.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S3303cede80d94fe2813de241019bc077w.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S0bb276f7cc1b431d8db64c6163a739d1j.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S168aa57ba616458888fc97e6b3d51c6dO.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S1a620345eb074635a1710277665e0657N.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S06c56635685a4b1d8026d856a2b42c8bU.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A"
"1005005307469482","Ultra-thin High Capacity Laptop Bag cover,Microfiber Leather laptop sleeve case for 2020 M1 MacBook Pro Air 12/13.3/14/15.4/16","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/Ha889b003b2124a729226ebfa934cc7d0j.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/Heefdcb93d6a74feeaf8d954677325837j.jpg_220x220q75.jpg_.avif | 13-inch | 14-inch","N/A","Rp55,758","Rp121,167","53% off","N/A","Tax excluded, add at checkout if applicable ; Extra 1% off with coins","5.0","1 Review","6 sold","N/A","Max. 1 pcs/shopper","N/A","Free shipping","May 10 - 15","Quoko Official Store","https://id.aliexpress.com/item/1005005307469482.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-2&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21166936.46%2190140.00%21%21%2171.56%2138.64%21%402141131717462878956777252eb9c4%2112000032618215958%21sea%21ID%210%21ABX&curPageLogUid=kOyDmi5pgWaG&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/H4161672b255d40cbb55d3265dfc4e3d2i.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S4d3b3052b6c243f08154f21134ac2b8fv/48x48.png_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H4161672b255d40cbb55d3265dfc4e3d2i.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hdc04808136e3445b8d70bbc820326a76t.png_220x220.png_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hc67e7f7f11c144f8937d00af64e449520.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H8d05ce0688794449b64d9b8bdc7f5cb6r.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H33686ac0d8d74425a959b258deb70659e.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Ha889b003b2124a729226ebfa934cc7d0j.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Heefdcb93d6a74feeaf8d954677325837j.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A","N/A"
"1005003012239286","Funny Graphic print Tonga USB Charge Backpack Men School Bags Women Bag Travel Laptop bag","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/Hf6ef27733b2f4436818d3a303b957827b.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H732c26d4710c40dd8a6f11534914f66bL.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/Hdd44a9cc13db43ff8b0eb7ed7ea24c663.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/Hc95059611e094866bbc50d01d3a1bba5e.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H7ae9d6452c014b03afa1c8c3f9ef11860.jpg_220x220q75.jpg_.avif","N/A","Rp123,589","N/A","N/A","N/A","Tax excluded, add at checkout if applicable","N/A","N/A","4 sold","N/A","N/A","N/A","Rp76,693","May 10 - 17","Liurenruoh Store","https://id.aliexpress.com/item/1005003012239286.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-3&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21123588.71%21123588.71%21%21%217.30%217.30%21%402141131717462878956777252eb9c4%2112000023224494507%21sea%21ID%210%21ABX&curPageLogUid=4cg46ii6xwwd&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/H6b8c051b3f73453f8aa149ed5ca9d973c.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H732c26d4710c40dd8a6f11534914f66bL.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hdd44a9cc13db43ff8b0eb7ed7ea24c663.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hc95059611e094866bbc50d01d3a1bba5e.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hf6ef27733b2f4436818d3a303b957827b.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H7ae9d6452c014b03afa1c8c3f9ef11860.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hf6ef27733b2f4436818d3a303b957827b.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H732c26d4710c40dd8a6f11534914f66bL.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hdd44a9cc13db43ff8b0eb7ed7ea24c663.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hc95059611e094866bbc50d01d3a1bba5e.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H7ae9d6452c014b03afa1c8c3f9ef11860.jpg_220x220q75.jpg_.avif","N/A","N/A"
"1005006050115450","A4Tech Bloody V5M USB Wired Gaming Mouse ,Optical game engine,Eating Chicken,CF, Laptop Game","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/S1b421a6058e643959251df02a9f8378c8.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/S6e570baab9f648daa5f911c1752c0372H.png_220x220.png_.avif","N/A","Rp377,538","Rp629,287","40% off","N/A","Tax excluded, add at checkout if applicable ; Extra 6% off with coins","N/A","N/A","4 sold","N/A","N/A","N/A","Rp110,214","May 10 - 17","Razer Greeno Store","https://id.aliexpress.com/item/1005006050115450.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-4&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21629286.61%21377538.00%21%21%2137.17%2122.30%21%402141131717462878956777252eb9c4%2112000035493858204%21sea%21ID%210%21ABX&curPageLogUid=diNCY9RkQdVZ&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/S0ed165dc533f4e6689a81da05ec3025dJ.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S34c2b59d2d384868bbf3f5076d9bb811K.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S9ec7db368c7d4c798419b664f025507ae.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S803c84198bd241c4997f7f67ae1d0e4eZ.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S1dd906f03fb64536b3478bc90686ffe0L.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S662b5b84c72d4b1b849a1889335ed283j.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S1b421a6058e643959251df02a9f8378c8.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S6e570baab9f648daa5f911c1752c0372H.png_220x220.png_.avif","N/A","N/A","N/A","N/A","N/A"
"1005002918525995","Russian Laptop Keyboard for ASUS MP-10A73US-9201W AENJ2U01020 0KNB0-6204US00 V118502AS4 PK130TT2A03 0KNB0-6244UI00","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/H73488c7158a74cc3a1dc990c91ece5fbe.jpg_220x220q75.jpg_.avif","N/A","Rp158,465","Rp176,072","10% off","N/A","Tax excluded, add at checkout if applicable","N/A","N/A","3 sold","N/A","N/A","N/A","Free shipping","May 10 - 17","KS notebook parts franchise Store","https://id.aliexpress.com/item/1005002918525995.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-5&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21176071.58%21158465.00%21%21%2110.40%219.36%21%402141131717462878956777252eb9c4%2112000022783686930%21sea%21ID%210%21ABX&curPageLogUid=uve1uKc4ZY3Z&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/H73488c7158a74cc3a1dc990c91ece5fbe.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hc99db1cf058143bc9df72fc4c8ec72e6t.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H1db0d5fe16f04f20a63a2cb33eefc1dcr.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H1122d58e22f04634963404b023e85e9fH.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H73488c7158a74cc3a1dc990c91ece5fbe.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1005005414920911","19.5V 3.33A 65W 4.5*3.0mm Laptop Charger Adapter For HP Envy 17-j010us Pavilion 15-j000 Chromebook 11 G4 G5 EE 14 G3 246 G4 248","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/S8fca317c3d6d4f8b9db7981f1ee27cbeW.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/Sb39fc252798b43009a35aa7cd276d64ao.jpg_220x220q75.jpg_.avif","N/A","Rp118,510","N/A","N/A","N/A","Tax excluded, add at checkout if applicable ; Extra 5% off with coins","N/A","N/A","1 sold","N/A","N/A","N/A","Rp38,600","May 10 - 17","DrLappy Partshub Store","https://id.aliexpress.com/item/1005005414920911.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-6&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21118509.72%21118509.72%21%21%217.00%217.00%21%402141131717462878956777252eb9c4%2112000032968448863%21sea%21ID%210%21ABX&curPageLogUid=Y8mWBRBtGArv&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/Sb39fc252798b43009a35aa7cd276d64ao.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Sa82f48d4b78d48e29bfa1391fa74d7f9A.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Sf38021653f1744a59cdbe122f25fa471V.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S8fca317c3d6d4f8b9db7981f1ee27cbeW.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Sb39fc252798b43009a35aa7cd276d64ao.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1005003264883756","Laptop CPU Cooler Fan For DELL Latitude 14 E5470 FGLF DFS2000050F0T 0XGYJW XGYJW","N/A","N/A","N/A","N/A","N/A","Rp142,550","Rp178,272","20% off","N/A","Tax excluded, add at checkout if applicable","N/A","N/A","1 sold","N/A","N/A","N/A","Rp30,135","May 10 - 17","DBJBA DBJBA Store","https://id.aliexpress.com/item/1005003264883756.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-7&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21178272.48%21142550.00%21%21%2110.53%218.42%21%402141131717462878956777252eb9c4%2112000024922100994%21sea%21ID%210%21ABX&curPageLogUid=IVkfDFDtamYv&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/S93b1f0cdbddc4a3fb78eb4f11d824342z.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S74c1ad1412c04eb5a8dc3016ccef7c09o.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1005003012171656","Funny Graphic print The blow monkeys USB Charge Backpack Men School Bags Women Bag Travel Laptop bag","N/A","N/A","N/A"," | https://ae-pic-a1.aliexpress-media.com/kf/Hda8a6a4488744fb899405695d2080c96z.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H69b79b4fd0914d35bda82b67cf211627z.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H9d663b4635004a63990cc8aacfa24d95u.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/H846890df27fd4edfb41ecdf00671c62cY.jpg_220x220q75.jpg_.avif |  | https://ae-pic-a1.aliexpress-media.com/kf/Hdf8e63d66f3d43e9b5fc61a4c680de764.jpg_220x220q75.jpg_.avif","N/A","Rp123,589","N/A","N/A","N/A","Tax excluded, add at checkout if applicable","N/A","N/A","1 sold","N/A","N/A","N/A","Rp76,693","May 10 - 17","Liurenruoh Store","https://id.aliexpress.com/item/1005003012171656.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-8&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21123588.71%21123588.71%21%21%217.30%217.30%21%402141131717462878956777252eb9c4%2112000023224307942%21sea%21ID%210%21ABX&curPageLogUid=511x0pL6IyOy&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/H680948cab5604a6c82157225fefba6b3a.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H69b79b4fd0914d35bda82b67cf211627z.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H9d663b4635004a63990cc8aacfa24d95u.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H846890df27fd4edfb41ecdf00671c62cY.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hda8a6a4488744fb899405695d2080c96z.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hdf8e63d66f3d43e9b5fc61a4c680de764.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hda8a6a4488744fb899405695d2080c96z.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H69b79b4fd0914d35bda82b67cf211627z.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H9d663b4635004a63990cc8aacfa24d95u.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H846890df27fd4edfb41ecdf00671c62cY.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hdf8e63d66f3d43e9b5fc61a4c680de764.jpg_220x220q75.jpg_.avif","N/A","N/A"
"1005003004353070","14.0"" NT140WHM-N41 LP140WH8 TPC1 LP140WHU TPD1 TPE1 N140BGE-EA3 LED Screen LCD Matrix Laptop HD 1366X768 30Pin Matte PANEL","N/A","N/A","N/A","14Inches 350mm","N/A","Rp564,106","Rp572,571","1% off","N/A","Tax excluded, add at checkout if applicable","5.0","1 Review","1 sold","N/A","Max. 1 pcs/shopper","N/A","Free shipping","May 10 - 17","Jingyvcheng LCD Store","https://id.aliexpress.com/item/1005003004353070.html?algo_pvid=1443338e-c940-44f9-8522-f93f62f19c46&algo_exp_id=1443338e-c940-44f9-8522-f93f62f19c46-9&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21IDR%21572571.25%21572571.25%21%21%2133.82%2133.82%21%402141131717462878956777252eb9c4%2112000023170505863%21sea%21ID%210%21ABX&curPageLogUid=8GVyHYrfxS5o&utparam-url=scene%3Asearch%7Cquery_from%3A","https://ae-pic-a1.aliexpress-media.com/kf/H3bb6719aa06848abad4d22b94d216156j.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/S4d3b3052b6c243f08154f21134ac2b8fv/48x48.png_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H3bb6719aa06848abad4d22b94d216156j.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H46f0f020860949399a89b24a898e88d26.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hd3d2e955a47c4bf4baab60036c3d5cd2k.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/Hd059af7544c4412688d05e285826be02g.jpg_220x220q75.jpg_.avif","https://ae-pic-a1.aliexpress-media.com/kf/H492e9187946a411587dd280453363bb8N.jpg_220x220q75.jpg_.avif","N/A","N/A","N/A","N/A","N/A","N/A"
